epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1044.8,0.90044,0.50454,0.92056,0.91064,0.90804,0.93963,0.70753,0.91438,0.46383,0.94607,0.00101873,0.00101873,0.00101873
89,1056.76,0.91511,0.503,0.93094,0.90744,0.90462,0.93808,0.70285,0.91596,0.46653,0.9453,0.00101402,0.00101402,0.00101402
90,1068.62,0.92767,0.50433,0.93663,0.90027,0.91364,0.93231,0.69393,0.94636,0.47055,0.9507,0.0010093,0.0010093,0.0010093
91,1080.47,0.91745,0.49426,0.93602,0.89257,0.9059,0.92782,0.69965,0.91317,0.46605,0.94636,0.00100459,0.00100459,0.00100459
92,1091.82,0.90236,0.49453,0.92589,0.90764,0.90256,0.93754,0.71033,0.91263,0.45733,0.94553,0.000999871,0.000999871,0.000999871
93,1103.52,0.89692,0.48809,0.92921,0.90467,0.90706,0.93791,0.69835,0.93754,0.45852,0.94681,0.000995156,0.000995156,0.000995156
94,1115.44,0.90187,0.49702,0.92718,0.90371,0.9077,0.93876,0.70479,0.91336,0.4637,0.94318,0.00099044,0.00099044,0.00099044
95,1127.08,0.9221,0.48794,0.93175,0.90219,0.91575,0.93604,0.70431,0.92068,0.46247,0.94534,0.000985724,0.000985724,0.000985724
96,1139.01,0.88034,0.48338,0.90913,0.91083,0.90722,0.94107,0.70551,0.92315,0.45879,0.94377,0.000981008,0.000981008,0.000981008
97,1150.7,0.89474,0.48462,0.92332,0.91498,0.90784,0.93869,0.70098,0.91451,0.45552,0.9433,0.000976293,0.000976293,0.000976293
98,1162.71,0.89424,0.49378,0.92482,0.89747,0.90356,0.92739,0.7014,0.91301,0.47426,0.94195,0.000971577,0.000971577,0.000971577
99,1174.77,0.90245,0.48087,0.93093,0.9057,0.9085,0.93688,0.69806,0.95009,0.46466,0.95145,0.000966861,0.000966861,0.000966861
100,1186.53,0.90767,0.4864,0.92708,0.91226,0.90363,0.92998,0.69527,0.91321,0.46615,0.94173,0.000962146,0.000962146,0.000962146
101,1197.92,0.89206,0.47615,0.92087,0.89763,0.90355,0.93277,0.69565,0.92826,0.46992,0.94829,0.00095743,0.00095743,0.00095743
102,1209.91,0.88132,0.48019,0.91952,0.90249,0.91059,0.93736,0.70747,0.91174,0.45589,0.94366,0.000952714,0.000952714,0.000952714
103,1221.94,0.89679,0.48984,0.91533,0.9083,0.90766,0.93625,0.7027,0.91723,0.45787,0.94274,0.000947999,0.000947999,0.000947999
104,1233.76,0.87933,0.47445,0.91316,0.91182,0.90782,0.93754,0.69927,0.9262,0.45701,0.94894,0.000943283,0.000943283,0.000943283
105,1245.63,0.8922,0.47009,0.91533,0.90513,0.90756,0.93527,0.70437,0.9215,0.45608,0.94387,0.000938567,0.000938567,0.000938567
106,1257.47,0.88433,0.47455,0.92287,0.90596,0.9066,0.93422,0.70508,0.90655,0.45764,0.9411,0.000933851,0.000933851,0.000933851
107,1269.5,0.89472,0.47002,0.92127,0.90965,0.90311,0.93673,0.70432,0.90927,0.46741,0.94093,0.000929136,0.000929136,0.000929136
108,1281.65,0.89603,0.4801,0.92618,0.91071,0.90401,0.9388,0.70704,0.9346,0.45334,0.94552,0.00092442,0.00092442,0.00092442
109,1293.32,0.89963,0.48186,0.92448,0.90564,0.90369,0.93864,0.70148,0.91929,0.45688,0.94516,0.000919704,0.000919704,0.000919704
110,1305.5,0.86515,0.47573,0.91711,0.90276,0.9134,0.93478,0.7009,0.92795,0.46629,0.9438,0.000914989,0.000914989,0.000914989
